Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Source details,Label for custom breakdown,Value
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,13993.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,14637.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,15163.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,15588.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,15942.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,16233.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,48.07404
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,47.60538
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,47.63569
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,52.50834
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,49.47936
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,6727.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,6968.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,7223.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,8185.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,7888.0
2019,A,C,Kenya Marine and Fisheries Research Institute,Beach litter items per unit of surface area [14.1.1],,,Number of items per 100 square meters,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,4.0
2020,A,C,Kenya Marine and Fisheries Research Institute,Beach litter items per unit of surface area [14.1.1],,,Number of items per 100 square meters,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,123.0
2021,A,C,Kenya Marine and Fisheries Research Institute,Beach litter items per unit of surface area [14.1.1],,,Number of items per 100 square meters,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,263.0
2022,A,C,Kenya Marine and Fisheries Research Institute,Beach litter items per unit of surface area [14.1.1],,,Number of items per 100 square meters,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,693.0
2023,A,C,Kenya Marine and Fisheries Research Institute,Beach litter items per unit of surface area [14.1.1],,,Number of items per 100 square meters,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,594.0
2018,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Extreme,Percent,Definition differs,Estimated,World Environment Situation Room,,2.03342
2019,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Extreme,Percent,Definition differs,Estimated,World Environment Situation Room,,1.33598
2020,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Extreme,Percent,Definition differs,Estimated,World Environment Situation Room,,0.20718
2021,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Extreme,Percent,Definition differs,Estimated,World Environment Situation Room,,0.79945
2022,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Extreme,Percent,Definition differs,Estimated,World Environment Situation Room,,3.71845
2018,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: High,Percent,Definition differs,Estimated,World Environment Situation Room,,14.68535
2019,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: High,Percent,Definition differs,Estimated,World Environment Situation Room,,13.1095
2020,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: High,Percent,Definition differs,Estimated,World Environment Situation Room,,4.98926
2021,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: High,Percent,Definition differs,Estimated,World Environment Situation Room,,9.61819
2022,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: High,Percent,Definition differs,Estimated,World Environment Situation Room,,8.11581
2018,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Moderate,Percent,Definition differs,Estimated,World Environment Situation Room,,6.07303
2019,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Moderate,Percent,Definition differs,Estimated,World Environment Situation Room,,9.46819
2020,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Moderate,Percent,Definition differs,Estimated,World Environment Situation Room,,9.32118
2021,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Moderate,Percent,Definition differs,Estimated,World Environment Situation Room,,8.53955
2022,D,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",,Frequency of Chlorophyll-a concentration: Moderate,Percent,Definition differs,Estimated,World Environment Situation Room,,6.46192
2005,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.62618
2006,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.5175
2007,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,2.30735
2008,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,2.95489
2009,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.75128
2010,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.17649
2011,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.15527
2012,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,1.00665
2013,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,2.90505
2014,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,2.63801
2015,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,1.42641
2016,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,2.8197
2017,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,5.18214
2018,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.92357
2019,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.14538
2020,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.10593
2021,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.13527
2022,A,E,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,,Percent,Normal value,Estimated,World Environment Situation Room,,0.52009
2019,A,C,Kenya Marine and Fisheries Research Institute,Floating plastic debris density (count per km2) [14.1.1],,,Number,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,353954.85894
2020,A,C,Kenya Marine and Fisheries Research Institute,Floating plastic debris density (count per km2) [14.1.1],,,Number,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,269890.73738
2021,A,C,Kenya Marine and Fisheries Research Institute,Floating plastic debris density (count per km2) [14.1.1],,,Number,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,5975811.07039
2022,A,C,Kenya Marine and Fisheries Research Institute,Floating plastic debris density (count per km2) [14.1.1],,,Number,Normal value,Country Data,Kenya Marine and Fisheries Research Institute,,1381332.6818
